time,device_address,physical_payload,gateway,crc_status,frequency,spreading_factor,bandwidth,code_rate,rssi,snr,size,mtype,fcnt,fport
2020-07-03T00:00:03.828641Z,2601241c,QBwkASaAMyQFzctOMQY7sQ40NobHKejcYOwpcko=,0000024b0b031c97,1,868300000,12,125,4/5,-93,-4.2,-1,010,9267,5
2020-07-03T00:00:05.877623Z,27007d90,QJB9ACcABAACqx0SZkSuhYp/bmfmqL5cgHmI/9CZ,0000024b0b031c97,1,867700000,8,125,4/5,-101,-7.8,-1,010,4,2
2020-07-03T00:00:07.579783Z,000a056c,QGwFCgCCDgADBwUuo3mbqlE5qIO2kwudqtC3s8tfRtE=,0000024b0b031c97,1,868100000,7,125,4/5,-108,-2,-1,010,14,5
2020-07-03T00:00:08.220286Z,26012682,QIImASYAS5QB5FfItCFVo6bnqA==,0000024b0b031c97,1,867500000,7,125,4/5,-76,7.2,-1,010,37963,1
2020-07-03T00:00:09.243959Z,20000002,QAIAACCAaOIKesJwfPAhqn3IKqFIN77UbvF/6nE=,0000024b0b031c97,1,868100000,12,125,4/5,-101,-8.5,-1,010,57960,10
2020-07-03T00:00:13.019916Z,2601297c,QHwpASaAttsFMRvK5/NNZrCJ6U7DQq6T8l7KsmE=,0000024b0b031c97,1,868100000,12,125,4/5,-82,10,-1,010,56246,5
2020-07-03T00:00:14.479510Z,270002b3,QLMCACcAbFsFdZdSfhyLP9ea4/rF4/QsmpCy6NexXg==,0000024b0b031c97,1,867500000,8,125,4/5,-98,-9.5,-1,010,23404,5
2020-07-03T00:00:15.693844Z,2700024e,QE4CACcAbFsFiGP8wxLV9zyhNaLL/1kVEQ3dl3baRg==,0000024b0b031c97,1,868100000,8,125,4/5,-109,-6.2,-1,010,23404,5
2020-07-03T00:00:17.647556Z,260121fe,QP4hASaAnwECMjpLBTr/We9sq4NwLYMKg2oIr0/d6r1URA==,0000024b0b031c97,1,867300000,7,125,4/5,-105,3.5,-1,010,415,2
2020-07-03T00:00:17.831765Z,26012dc5,QMUtASYAFioBJb5fuH2YaO0FobwQ1OBEIZEvLvyvFwvp+9ZOTwQdJhOjkdjMm29c0NFPd+fE0C/f1HvcnJc=,0000024b0b031c97,1,868500000,12,125,4/5,-104,-5.5,-1,010,10774,1
2020-07-03T00:00:17.899420Z,2000000d,QA0AACCAiuEKcj/j3Wb/xMlgoMoLMnnCCvc=,0000024b0b031c97,1,868500000,7,125,4/5,-105,-3.5,-1,010,57738,10
2020-07-03T00:00:26.076432Z,26012e98,QJguASaAMyQF4wvS1bhp3w5T1r83bJoXHNJjRtc=,0000024b0b031c97,1,868100000,12,125,4/5,-101,-5,-1,010,9267,5
2020-07-03T00:00:30.117464Z,14000000,QAAAABSAs/4K8c/nRgF19bfXYxIS1GygutM=,0000024b0b031c97,1,868500000,12,125,4/5,-109,-16.2,-1,010,65203,10
2020-07-03T00:00:30.365176Z,26012682,QIImASYATJQBdRiMplSw0YUEQQ==,0000024b0b031c97,1,868500000,7,125,4/5,-76,7.8,-1,010,37964,1
2020-07-03T00:00:30.480585Z,26012c77,QHcsASaAR9wFWA62D5KPJZF9AWzyvDCa/l0+mpE=,0000024b0b031c97,1,867100000,12,125,4/5,-105,-1.5,-1,010,56391,5
2020-07-03T00:00:35.154727Z,2000000c,QAwAACCAi+EKbLeDm4Dt4kfiGChmPrFp1lI=,0000024b0b031c97,1,868300000,7,125,4/5,-102,-5.5,-1,010,57739,10
2020-07-03T00:00:44.113899Z,26012367,QGcjASYAvXcCMrrkzyFxrr9bJA==,0000024b0b031c97,1,868500000,7,125,4/5,-72,6.5,-1,010,30653,2
2020-07-03T00:00:44.485629Z,00a95214,QBRSqQCAe+sFUfL36TL0c+X5inq3ytu1A1k=,0000024b0b031c97,1,867700000,10,125,4/5,-103,-12.8,-1,010,60283,5
2020-07-03T00:00:45.017093Z,26012cbd,QL0sASaA+HoF/lDX1h31KfsKGxkmGSIn,0000024b0b031c97,1,868300000,12,125,4/5,-100,-9.5,-1,010,31480,5
2020-07-03T00:00:52.509808Z,26012682,QIImASYATZQB9J2dDrCXFWF7ng==,0000024b0b031c97,1,867300000,7,125,4/5,-75,9,-1,010,37965,1
2020-07-03T00:00:59.206495Z,26012de0,QOAtASaAab4KHLWs+Ehoa4+RIBU7dBehOw==,0000024b0b031c97,1,868500000,7,125,4/5,-108,-3.2,-1,010,48745,10
2020-07-03T00:01:06.688310Z,270082ff,gP+CACeAmgIUC/bfhjCEjZhJZjVWIg+p,0000024b0b031c97,1,867900000,9,125,4/5,-113,-12.8,-1,100,666,20
2020-07-03T00:01:10.098459Z,20000034,QDQAACCAUOMKVI8vOPRPZ0LzSP51NfN7zbSNszE=,0000024b0b031c97,1,868100000,7,125,4/5,-103,-5.8,-1,010,58192,10
2020-07-03T00:01:11.707580Z,2600236f,QG8jACaAs4EFJEPOVY9KfbbIlsWn,0000024b0b031c97,1,868100000,7,125,4/5,-99,5,-1,010,33203,5
2020-07-03T00:01:13.249124Z,26012a47,QEcqASaAU+AFG22X6hofnIT8LHaBk206Ci4qgW0=,0000024b0b031c97,1,868300000,12,125,4/5,-88,6.5,-1,010,57427,5
2020-07-03T00:01:14.654435Z,26012682,QIImASYATpQB5PV8aQZVNZnjgw==,0000024b0b031c97,1,868300000,7,125,4/5,-76,8.8,-1,010,37966,1
2020-07-03T00:01:22.648695Z,20000000,QAAAACCAi+EKlEgZyIeDxMjPAhhUpoT0HTE=,0000024b0b031c97,1,868100000,7,125,4/5,-100,-8,-1,010,57739,10
2020-07-03T00:01:27.698496Z,26012a85,QIUqASaA19sFFwQXesHcVzWSZybzdUJhaE2K1yo=,0000024b0b031c97,1,868500000,12,125,4/5,-85,6.2,-1,010,56279,5
2020-07-03T00:01:30.110983Z,260122da,QNoiASYAECoBZO1jqT9pdaA2YC+yFqxCTivkMktE6quCHcgyVBI6/z+a3Scg+5G6C0jaUzlVEdgT9BQM7Qg=,0000024b0b031c97,1,867300000,12,125,4/5,-109,-7.5,-1,010,10768,1
2020-07-03T00:01:32.351037Z,fe824591,QJFFgv6A+AkBaCvUQEXGV8oQUFtwtssT5Qro/6r8InHrGV9LgQvrnImf7A==,0000024b0b031c97,1,868300000,12,125,4/5,-105,-13.2,-1,010,2552,1
2020-07-03T00:01:32.490125Z,26012c1d,QB0sASaANCQFCzaMp1w518OKK2zW/Uaw2SPVV4U=,0000024b0b031c97,1,868500000,12,125,4/5,-106,-3.8,-1,010,9268,5
2020-07-03T00:01:35.850755Z,035028dd,QN0oUAPAggUB0XawTSCtMeY6H0sZldvaMUjqAOEcZj0Te5uyaVxeguONeUmqW/T8bDTggNSYdINm9F0XBFtYOJ0=,0000024b0b031c97,1,868300000,7,125,4/5,-95,8.8,-1,010,1410,1
2020-07-03T00:01:36.799476Z,26012682,QIImASYAT5QBoi9nfYF9jrk6Qw==,0000024b0b031c97,1,868500000,7,125,4/5,-77,8,-1,010,37967,1
2020-07-03T00:01:41.647171Z,2601282c,QCwoASaAVQsFotaoNQbAdT3Wtezn4E5lpvEGic1s,0000024b0b031c97,1,867100000,7,125,4/5,-96,8.5,-1,010,2901,5
2020-07-03T00:01:45.919721Z,27007d4b,gEt9ACcAOiYCER3LHRgLHeJnprgXGIyZFwc0y8l/+PGhcXG7QYhP8No7IJ8NKuk7NxDGSRwtMRuqrTnS7X1qqb2MGr+5qjZwrbjte0WyOZbmuw==,0000024b0b031c97,1,867300000,8,125,4/5,-106,-6,-1,100,9786,2
2020-07-03T00:01:58.944204Z,26012682,QIImASYAUJQB73NuzweA/5eJxA==,0000024b0b031c97,1,868100000,7,125,4/5,-81,10,-1,010,37968,1
2020-07-03T00:02:06.930484Z,27000228,QCgCACcAzhsF+ofBr9fIdwOsfQ7fM2oGCzNz9PEDHUednf3R+BhjMX7cpIY7BBWs9uWo4ZsbZVS9zbivdhX0/w==,0000024b0b031c97,1,867100000,8,125,4/5,-103,-10,-1,010,7118,5
2020-07-03T00:02:09.411475Z,01f87209,QAly+AGBmgUCBWN8J3QzBgZ+BspvnNSh7J6/,0000024b0b031c97,1,867300000,9,125,4/5,-106,-14,-1,010,1434,5
2020-07-03T00:02:12.397273Z,27007d4b,gEt9ACcAOyYC4B2ncnAQP3e2,0000024b0b031c97,1,867500000,8,125,4/5,-97,-8.8,-1,100,9787,2
2020-07-03T00:02:20.545712Z,27007d4b,gEt9ACcAPCYChs9ov6Y+f7foSF5ZDcfN7j5t68b6lOSmtI7f+ZgoH5gOTkMd3aY=,0000024b0b031c97,1,868300000,8,125,4/5,-101,-2,-1,100,9788,2
2020-07-03T00:02:21.089358Z,26012682,QIImASYAUZQBhbNXnKKNZ8Wwag==,0000024b0b031c97,1,868300000,7,125,4/5,-77,10.2,-1,010,37969,1
2020-07-03T00:02:21.158184Z,260125c2,QMIlASaAMyQFxsW4yl5bFEclcak42ZO4Q6j2Zv8=,0000024b0b031c97,1,868300000,12,125,4/5,-102,-10,-1,010,9267,5
2020-07-03T00:02:28.377436Z,260124e2,QOIkASYAhTkFn4Vn6G89UVNs1TlGFPmt5zzckmtUSWV+290Rsg==,0000024b0b031c97,1,868500000,12,125,4/5,-95,7.8,-1,010,14725,5
2020-07-03T00:02:31.772365Z,27007d4b,gEt9ACcAPSYCURj78gZNAflmO55UaRwO+vQ24QjH8nmXgOJ91BPqqT81U+u/KgQQbM2w6GwYaOnCTMgx9FEYhd8bAG2bKkocaEpa852cNQ42kP3PMOVoR50+vVDFGRP/Py/OiwYhY4xANtmhqxOVG/G8Xurq3zkMtGxY4Tiqrw0ACLVNIFxmTHFb6E4XrZXM6c/n6xSLZsBMdmP8pJ87jslFs+20uofGzGriyhmjSHdHL5c7Gu7Q3eb/kGfKdiGKS4w5GMnjBZ+xUGyZMRuREWym7vNZjrvW1fqVaiqymji1SeoLwN23/2LhbeCL6gUbIGEW+v1xohTJoF5vGGYT,0000024b0b031c97,1,867700000,8,125,4/5,-102,-5,-1,100,9789,2
2020-07-03T00:02:31.927757Z,26012efe,QP4uASaANCQFBTVypEZaFNuXMtwW746O8h5OL3E=,0000024b0b031c97,1,868300000,12,125,4/5,-105,-11.5,-1,010,9268,5
2020-07-03T00:02:40.808330Z,27000251,gFECACcATSsFdEkaIXt1YqLh,0000024b0b031c97,1,867700000,8,125,4/5,-107,-9.2,-1,100,11085,5
2020-07-03T00:02:43.234001Z,26012682,QIImASYAUpQBkFqEFxCf4YetZA==,0000024b0b031c97,1,867500000,7,125,4/5,-75,7,-1,010,37970,1
2020-07-03T00:02:48.245919Z,04901c9d,QJ0ckASAdkcBrtETJVX/18bjpfw4Pkbs9uKunlEvZK4T,0000024b0b031c97,1,868100000,7,125,4/5,-105,-3.8,-1,010,18294,1
2020-07-03T00:02:51.389263Z,27008220,QCCCACeArQABZzv6byhxq71CKBBZD7QFGh+dg5KFjbs0HErA,0000024b0b031c97,1,868500000,11,125,4/5,-82,7.2,-1,010,173,1
2020-07-03T00:01:53.961193507Z,-1,qPrb7IMM5f5l,00800000a0001793,-1,868500000,7,125,4/6,-110,-11.2,-1,101,-1,-1
2020-07-02T23:59:59.512597Z,-1,,7276ff002e062804,-1,867700000,8,125,???,-89,-13,-1,-1,-1,-1
2020-07-03T00:00:00.911109Z,-1,,7276ff002e062804,-1,868100000,7,125,???,-115,-11.2,-1,-1,-1,-1
2020-07-03T00:00:26.161671Z,-1,,7276ff002e062804,-1,868100000,12,125,4/5,-96,-20.8,-1,-1,-1,-1
2020-07-03T00:00:50.683480Z,-1,,7276ff002e062804,-1,867300000,7,125,4/5,-98,-10.5,-1,-1,-1,-1
2020-07-03T00:01:00.472965Z,-1,,7276ff002e062804,-1,868300000,9,125,4/5,-102,-14.5,-1,-1,-1,-1
